,id,keywords,cast,genres,imdb_id,original_language,revenue,release_date,spoken_languages,title,vote_average,vote_count,overview,poster_path,popularity,Director,combined_keywords,genres_set_str,movie_index
0,425774,biography australia independentfilm directorialdebut revisionisthistory hall newsouthwales bushranger,JackMartin CallanMcAuliffe ArthurAngel AngusPilakui AndyMcPhee FantineBanulski JamieCoffa WilliamLee PiaGraceMoon JoanneDobbin LaurenGregory NickBarry JohnOrcsik ZaneCiarma AdamWillson EricaField JordanFraser-Trumble GregoryQuinn LaurenGrimson TomBeaurepaire BenChisholm JanaWilkes JamesGrim EmilyThomson GerrardWoodward JosephineCroft BaileyBarbour CalebMcClure MichealResce SteveJager NathanLuke SteveSammut MickPreston CurtisTaylor RainFuller PeterSardi WesleyLeseberg MarioGori DarrenHolmes DeanKirkright BrentonFoale KevinSummers DylanLloyd JoshuaJaeger GavinIngham ElizabethFarrell CrisCochrane FrankDixon AdamLaRosa AaranHughes PeterBromley AdrianMulraney PeterRichards SeanMcIntyre PeterFlaherty BobbyRuckus BrentAlbon BradWest ShaneSavage WesleyHolmes DavidPassmore EdwardEast BruceGleeson JohnCoory AlanadeFreitas XanderPaterson EllaHill-Cotter EdwardTresize MattJones HayleyMarlow CoryCorbett ConnorBashford KeiranKing,"['Action', 'Drama', 'History', 'Western']",tt3844876,en,0.0,2016,"[{'iso_639_1': 'en', 'name': 'English'}]",The Legend of Ben Hall,6.6,9.0,"Ben Hall is drawn back into bushranging by the reappearance of his old friend John Gilbert. Reforming the gang, they soon become the most wanted men in Australian history.",/AnG9xnxkRNeva4J0PwPBYUwWyn5.jpg,1.312524,['Matthew Holmes'],biography australia independentfilm directorialdebut revisionisthistory hall newsouthwales bushranger 2016 ben hall drawn back bushranging reappearance old friend john gilbert reforming gang soon become wanted men australian history Matthew Holmes JackMartin CallanMcAuliffe ArthurAngel AngusPilakui AndyMcPhee FantineBanulski JamieCoffa WilliamLee PiaGraceMoon JoanneDobbin LaurenGregory NickBarry JohnOrcsik ZaneCiarma AdamWillson EricaField JordanFraser-Trumble GregoryQuinn LaurenGrimson TomBeaurepaire BenChisholm JanaWilkes JamesGrim EmilyThomson GerrardWoodward JosephineCroft BaileyBarbour CalebMcClure MichealResce SteveJager NathanLuke SteveSammut MickPreston CurtisTaylor RainFuller PeterSardi WesleyLeseberg MarioGori DarrenHolmes DeanKirkright BrentonFoale KevinSummers DylanLloyd JoshuaJaeger GavinIngham ElizabethFarrell CrisCochrane FrankDixon AdamLaRosa AaranHughes PeterBromley AdrianMulraney PeterRichards SeanMcIntyre PeterFlaherty BobbyRuckus BrentAlbon BradWest ShaneSavage WesleyHolmes DavidPassmore EdwardEast BruceGleeson JohnCoory AlanadeFreitas XanderPaterson EllaHill-Cotter EdwardTresize MattJones HayleyMarlow CoryCorbett ConnorBashford KeiranKing,History Action Western Drama,0
1,3594,suicide basedonnovel hotelroom obsession sadomasochism psychologicalthriller killer family numbers,JimCarrey VirginiaMadsen LoganLerman DannyHuston LynnCollins MarkPellegrino RhonaMitra DavidStifel CoreyStoll MichelleArthur PaulButcher EdLauter TroyKotsur PatriciaBelcher LesliMargherita ShaktiShannon TaraKarsian,"['Thriller', 'Drama', 'Mystery']",tt0481369,en,77566815.0,2007,"[{'iso_639_1': 'en', 'name': 'English'}]",The Number 23,6.3,1045.0,"Walter Sparrow is an animal control officer that becomes obsessed with a mysterious book that seems to be based on his own life. As soon as he opens the book, he notices strange parallels between what he reads and what he's experienced. But now he's worried that a fictional murder might materialize.",/ifG0shuMk1jAf7cTutpF25sv3Wu.jpg,8.140941,['Joel Schumacher'],suicide basedonnovel hotelroom obsession sadomasochism psychologicalthriller killer family numbers 2007 walter sparrow animal control officer becomes obsessed mysterious book seems based life soon open book notice strange parallel read experienced worried fictional murder might materialize Joel Schumacher JimCarrey VirginiaMadsen LoganLerman DannyHuston LynnCollins MarkPellegrino RhonaMitra DavidStifel CoreyStoll MichelleArthur PaulButcher EdLauter TroyKotsur PatriciaBelcher LesliMargherita ShaktiShannon TaraKarsian,Drama Mystery Thriller,1
2,37455,lovetriangle suspense goodcopbadcop lonelyman coltpython frenchpolar,YvesMontand FrançoisPérier SimoneSignoret StefaniaSandrelli VadimGlowna MathieuCarrière ClaudeBertrand GabrielleDoulcet AliceReichen TonyRödel Georges-FrédericDehlen SergeMarquand StéphaneMacha RogerMuni MalvinaPenne MichelRuhl,"['Action', 'Crime', 'Thriller']",tt0075082,fr,0.0,1976,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Police Python 357,6.2,10.0,"A tough but honest cop must clear his name after a corrupt colleague implicates him in a murder in this French thriller. Ferrot is a hard-as-nails police detective who is attracted to a beautiful woman named Sylvia. Sylvia, however, is having an affair with Ganay, who happens to be Ferrot's superior on the force; Ganay happens to be married to Therese, who is handicapped. Sylvia is found murdered, and Ferrot is assigned to investigate; Ferrot is convinced that Ganay killed Sylvia because she wanted to end their relationship, but to his dismay, Ferrot discovers that the killer has placed a number of false clues that point the blame toward Ferrot.",/2TOLyyylz1OZHr3DWtM3bE39KSE.jpg,0.928291,['Alain Corneau'],lovetriangle suspense goodcopbadcop lonelyman coltpython frenchpolar 1976 tough honest cop must clear name corrupt colleague implicates murder french thriller ferrot police detective attracted beautiful woman named sylvia sylvia however affair ganay happens ferrot superior force ganay happens married therese handicapped sylvia found murdered ferrot assigned investigate ferrot convinced ganay killed sylvia wanted end relationship dismay ferrot discovers killer placed number false clue point blame toward ferrot Alain Corneau YvesMontand FrançoisPérier SimoneSignoret StefaniaSandrelli VadimGlowna MathieuCarrière ClaudeBertrand GabrielleDoulcet AliceReichen TonyRödel Georges-FrédericDehlen SergeMarquand StéphaneMacha RogerMuni MalvinaPenne MichelRuhl,Action Crime Thriller,2
3,13584,,BillBailey KevinEldon JohnMoloney MartinTrenaman,['Comedy'],tt0395474,en,0.0,2004,"[{'iso_639_1': 'en', 'name': 'English'}]",Bill Bailey: Part Troll,7.4,10.0,"Bill Bailey's Part Troll tour has been a huge success playing over 60 dates throughout the country. This DVD, filmed at the Hammersmith Apollo, captures one of the country's best and most original stand-ups at the top of his game.",/8jSRjfAwoUvp6JwQryqua2JBAJo.jpg,0.908328,['Nick Morris'], 2004 bill bailey part troll tour huge success playing 60 date throughout country dvd filmed hammersmith apollo capture one country best original top game Nick Morris BillBailey KevinEldon JohnMoloney MartinTrenaman,Comedy,3
4,376716,,LeonidBarats RostislavKhait AleksandrDemidov KamilLarin NonnaGrishaeva MaksimVitorgan AlekseyKortnev MikhailEfremov SergeyBurunov MikhailKozyrev AlekseyMakarov MikhailPolitseymako AgrippinaSteklova SergeiStepanchenko YanTsapnik VasiliyUtkin,['Comedy'],tt5487052,ru,4314688.0,2016,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Elections Day 2,7.0,12.0,Igor Tsaplin wants to be elected for a third term and PR team already familiar to us will help him.,/xpNePA8W1sNUDbzFhl0lkuQD2DN.jpg,0.796854,['Aleksandr Barshak'], 2016 igor tsaplin want elected third term pr team already familiar u help Aleksandr Barshak LeonidBarats RostislavKhait AleksandrDemidov KamilLarin NonnaGrishaeva MaksimVitorgan AlekseyKortnev MikhailEfremov SergeyBurunov MikhailKozyrev AlekseyMakarov MikhailPolitseymako AgrippinaSteklova SergeiStepanchenko YanTsapnik VasiliyUtkin,Comedy,4
5,14029,,UrbanoBarberini NatashaHovey KarlZinny FioreArgento PaolaCozzo FabiolaToledo NicolettaElmi StelioCandelli GerettaGeretta BobbyRhodes BettinaCiampolini ElianaMiglio JasmineMaimone MarcelloModugno PeterPitsch LinoSalemme MicheleSoavi GoffredoUnger GiovanniFrezza,['Horror'],tt0089013,fr,0.0,1985,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Demons,6.5,112.0,"A group of people are trapped in a West Berlin movie theater infested with ravenous demons who proceed to kill and possess the humans one-by-one, thereby multiplying their numbers.",/pWgxGFAb76rZHNEaMUs6tiAGYqw.jpg,11.477701,['Lamberto Bava'], 1985 group people trapped west berlin movie theater infested ravenous demon proceed kill posse human thereby multiplying number Lamberto Bava UrbanoBarberini NatashaHovey KarlZinny FioreArgento PaolaCozzo FabiolaToledo NicolettaElmi StelioCandelli GerettaGeretta BobbyRhodes BettinaCiampolini ElianaMiglio JasmineMaimone MarcelloModugno PeterPitsch LinoSalemme MicheleSoavi GoffredoUnger GiovanniFrezza,Horror,5
6,42719,roommate love hospital,JamesMason AlanBates LynnRedgrave CharlotteRampling BillOwen ClareKelly RachelKempson DeniseCoffey,"['Drama', 'Comedy', 'Romance']",tt0060453,en,0.0,1966,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Georgy Girl,6.8,12.0,"Georgy has resigned herself to being one of life's accidents. She disapproves somewhat of her father's butlering James Leamington. She's tall, plump, sloppy and wistfully envious of what she conceives to be the life led by her beautiful, but icy roommate. Where her roommate, Meredith, is cool and calculating, Georgy gets so involved with the people around her she behaves like an affectionate puppy. Most of all she burns to be a mother. But it is Meredith that is in the hospital having an unwanted child.",/n1CDRrqPsl6NVxbdt2r1oa6w2Dw.jpg,1.981755,['Silvio Narizzano'],roommate love hospital 1966 georgy resigned one life accident disapproves somewhat father butlering james leamington tall plump sloppy wistfully envious conceives life led beautiful icy roommate roommate meredith cool calculating georgy get involved people around behaves like affectionate puppy burn mother meredith hospital unwanted child Silvio Narizzano JamesMason AlanBates LynnRedgrave CharlotteRampling BillOwen ClareKelly RachelKempson DeniseCoffey,Comedy Drama Romance,6
7,10560,newyork competition dancer dance ball career balletdancer music entranceexamination ballet danceteacher,AmandaSchull ZoeSaldana SusanMayPratt PeterGallagher ScottieThompson,"['Drama', 'Music']",tt0210616,en,17200925.0,2000,"[{'iso_639_1': 'en', 'name': 'English'}]",Center Stage,6.8,95.0,A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.,/hCR9r2hE0woymx62pymQ0Bs4mk7.jpg,10.491734,['Nicholas Hytner'],newyork competition dancer dance ball career balletdancer music entranceexamination ballet danceteacher 2000 group 12 teenager various background enroll american ballet academy new york make ballet dancer one deal problem stress training getting ahead world dance Nicholas Hytner AmandaSchull ZoeSaldana SusanMayPratt PeterGallagher ScottieThompson,Music Drama,7
8,341106,biography ingridbergman,AliciaVikander IsabellaRossellini RobertoRossellini IsottaRossellini FiorellaMariani JeanineBasinger LivUllmann SigourneyWeaver IngridBergman PiaLindström,['Documentary'],tt4621016,sv,0.0,2015,"[{'iso_639_1': 'sv', 'name': 'svenska'}, {'iso_639_1': 'en', 'name': 'English'}]",Ingrid Bergman: In Her Own Words,7.6,14.0,A personal portrait of mythical and controversial actress Ingrid Bergman based on her many home movies and diaries.,/r1DEBTRnwmKaZSE65YFL9cXTWgz.jpg,1.847581,['Stig Björkman'],biography ingridbergman 2015 personal portrait mythical controversial actress ingrid bergman based many home movie diary Stig Björkman AliciaVikander IsabellaRossellini RobertoRossellini IsottaRossellini FiorellaMariani JeanineBasinger LivUllmann SigourneyWeaver IngridBergman PiaLindström,Documentary,8
9,14195,heroin blindfold bong perversion burnedalive independentfilm,MelanieGriffith StephenDorff AliciaWitt AdrianGrenier LawrenceGilliardJr. MaggieGyllenhaal JackNoseworthy MinkStole RickiLake MichaelShannon KevinNealon,"['Thriller', 'Comedy', 'Crime']",tt0173716,en,0.0,2000,"[{'iso_639_1': 'en', 'name': 'English'}]",Cecil B. Demented,6.2,51.0,An insane independent film director and his renegade group of teenage film makers kidnap an A-list Hollywood actress and force her to star in their underground film.,/fCwBrqo5YK3FHNlSuBubcmjxS1W.jpg,7.000983,['John Waters'],heroin blindfold bong perversion burnedalive independentfilm 2000 insane independent film director renegade group teenage film maker kidnap hollywood actress force star underground film John Waters MelanieGriffith StephenDorff AliciaWitt AdrianGrenier LawrenceGilliardJr. MaggieGyllenhaal JackNoseworthy MinkStole RickiLake MichaelShannon KevinNealon,Crime Comedy Thriller,9
